element_id,part_num,color_id,design_id
4124171,50231,0,22231
4525719,61808,135,61808
4107857,3755,4,
6513950,27257,36,27257
6055382,15616pr0002,0,15827
6404664,45677pr9997,15,
4185730,4433c01,135,45149
6555881,54869,36,38564
6504675,973c27h01pr0054,15,76382
6015060,3004,30,
4143290,23267,15,23267
6294702,973c34h01pr5046,25,76382
4163363,3846pr0039,7,80313
364126,3641,0,3641
6056379,15367,0,15367
6568571,3384pr0010,41,114634
4505842,32249,0,32249
4492322,52035,0,52035
6103367,75c32,0,57274
6485965,2395,15,
4140078,32349,73,
6143135,973c22h10pr9941,320,
4500917,52031,0,52031
4195405,3070bpr0034,7,46092
6603088,73831,10,73831
6470277,43849,14,43849
6503222,41201pat0002,71,41201
4198635,4185,0,4185
6505872,82562,14,5490
4569407,87617,0,87617
6587651,16178pat0001,4,90809
4168998,973c28h01pr0057,4,73403
4153655,31425c08pr0001,0,
6236795,973c41h02pr9868,484,
6102863,973c22h02pr9821,4,
4160705,2538b,0,2538
4141989,3626bpr0079,14,
4119830,71793,7,
4189632,44600c01,4,
4169216,30633,143,
4100346,71307pr0001,15,
6016526,3626cpr1144,14,
4140072,32349,8,
4161204,41749,71,
4186768,3626bpr0082,14,
4161211,41749,2,
6236971,973c43h02pr9867,29,
6154339,3626cpr9990,78,
4153068,30633,40,
4193491,30633,40,
6522694,10110642,9999,
4248582,41854pr0012,72,
6523456,4865bpr9998,47,
4177441,41669,0,41669
6131742,970c21pr9968,297,
4569107,970c05,272,73200
4561035,43719,0,43719
4563681,60583b,0,60583
6050828,11208,0,11208
6160867,970c04,321,88584
6233020,87991,0,87991
4153393,40239,0,40239
4160409,42023,0,42023
6492143,48171,19,5333
6039975,13565,0,13565
4195660,3039pr9975,15,46170
428276,4282,0,
4531192,6239,0,6239
4615581,85863pr0070,15,
4116695,30259pr0007,14,
6022202,11062,0,11062
6083347,10288,0,10288
4174204,973c16h25pr0029,6,73403
4140372,6251pr0005,15,
4227006,50254,0,50254
6014618,10113,0,10113
4189107,2541,6,2541
6545556,65886pr9998,41,
6528712,93094pat0001,4,25866
4223455,49423,0,49423
4626202,43892,0,43892
6556062,5925,47,5925
6119448,5102c37,0,21835
4192454,76399pr0011,1,76399
6109280,18943,0,18943
6147259,61406pat0006,0,61406
4103589,3003,1,
6141991,973c22h10pr3191,4,
6570131,1987,0,1987
4239365,50303,0,50303
4587313,42450,0,42450
4114294,32064a,0,32064
6574681,14769pr0169,297,114797
4249261,32175,0,32175
6019986,11455,0,11455
6040336,14137,0,14137
243626,2436,0,2436
4129993,4079b,6,4079
416627,4166,8,
6544726,7131,182,7131
6097641,42022,320,
6023036,11946,0,11946
610826,6108,0,6108
73492,766c190,7,
6601183,15396,3,7424
6502948,10109656,9999,
254125,2541,6,
6237014,98385,0,98385
395925,3959,6,
4254941,3959,8,
395901,3959,15,
395924,3959,14,
